date,entry_ts,exit_ts,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,win,exit_reason,bias_score,lots_used,capital_used,atr14,stop_pts,target_pts,vah,val,poc,pierce_pts,profile_used,regime_start,days_held,regime,macro_ok,size_factor,trend_pct,per_trade_risk_pct,period
2022-10-06,2022-10-06 11:15:00,2022-10-06 12:45:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,39549.55,39737.0,39830.0,39210.0,-247.45,-7463.5,0,TRAIL STOP,1.0,30,75000,300.0,280.45,339.55,39340.0,38320.0,39210.0,310.0,full,,0,neutral,True,0.5,1.8,0.45,IS
2022-10-06,2022-10-06 13:45:00,2022-10-07 09:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,39593.85,39210.0,39930.0,39210.0,323.85,9675.5,1,TARGET HIT,0.5615,30,75000,730.13,336.15,383.85,39340.0,38200.0,39210.0,410.0,full,,1,neutral,True,0.5,1.8,0.45,IS
2022-10-21,2022-10-21 13:30:00,2022-10-21 15:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,40816.65,40850.0,41359.62,39050.0,-93.35,-2840.5,0,SQUARE OFF,1.0,30,75000,549.36,542.97,1766.65,39820.0,38320.0,39050.0,1210.0,full,,0,neutral,True,0.5,3.74,0.45,IS
2022-12-07,2022-12-07 11:30:00,2022-12-07 13:45:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,43286.95,43286.95,42976.73,43450.0,-60.0,-1840.0,0,BREAKEVEN,0.3077,30,75000,334.11,310.22,163.05,43500.0,43280.0,43450.0,102.8,full,,0,neutral,True,1.0,0.35,0.9,IS
2022-12-20,2022-12-20 12:00:00,2022-12-20 13:00:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,43173.6,43173.6,42821.79,43310.0,-60.0,-1840.0,0,BREAKEVEN,0.3594,30,75000,373.35,351.81,136.4,43560.0,43180.0,43310.0,134.2,full,,0,neutral,True,0.5,-0.71,0.45,IS
2022-12-22,2022-12-22 13:30:00,2022-12-22 15:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,42503.55,42412.05,42046.24,43310.0,-151.5,-4585.0,0,SQUARE OFF,1.0,30,75000,472.94,457.31,806.45,43760.0,43140.0,43310.0,810.0,full,,0,neutral,True,0.5,-3.08,0.45,IS
2022-12-27,2022-12-27 10:00:00,2022-12-29 09:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,42517.65,42754.8,41955.3,43310.0,177.15,5274.39,1,BREAKEVEN,1.0,30,75000,583.7,562.35,792.35,44080.0,43140.0,43310.0,838.3,full,,2,neutral,True,0.5,-2.08,0.45,IS
2022-12-29,2022-12-29 13:45:00,2022-12-30 09:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,42868.9,43501.05,42286.03,43310.0,572.15,17124.5,1,CONTRACT ROLL,1.0,30,75000,300.0,582.87,441.1,44240.0,43100.0,43310.0,463.75,full,,0,neutral,True,1.0,-0.0,0.9,IS
2023-01-04,2023-01-04 12:30:00,2023-01-04 14:15:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,43199.05,43199.05,42880.0,43430.0,-60.0,-1840.0,0,BREAKEVEN,0.6667,30,75000,300.0,319.05,230.95,43560.0,43260.0,43430.0,200.0,full,,0,neutral,True,1.0,1.74,0.9,IS
2023-01-05,2023-01-05 13:45:00,2023-01-06 09:15:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,42645.0,42645.0,42135.06,43430.0,-60.0,-1840.0,0,TRAIL STOP,1.0,30,75000,601.5,509.94,785.0,43560.0,43100.0,43430.0,626.4,full,,1,neutral,True,1.0,0.86,0.9,IS
2023-01-25,2023-01-25 11:45:00,2023-01-25 15:00:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,41775.0,41641.4,41211.06,42350.0,-193.6,-5848.0,0,EARLY CUT,0.9028,30,75000,564.9,563.94,575.0,42920.0,42060.0,42350.0,510.0,full,,0,neutral,True,1.0,0.86,0.9,IS
2023-02-01,2023-02-01 11:15:00,2023-02-01 12:15:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,41461.65,41609.6,41778.8,40730.0,-207.95,-6278.5,0,TRAIL STOP,0.996,30,75000,300.0,317.15,731.65,41300.0,40440.0,40730.0,298.8,full,,0,neutral,True,1.0,-3.98,0.9,IS
2023-02-01,2023-02-01 13:45:00,2023-02-01 14:00:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,41128.0,41255.35,42018.0,40730.0,-187.35,-5660.5,0,TRAIL STOP,0.9933,30,75000,300.0,890.0,398.0,41540.0,40440.0,40730.0,298.0,full,,0,neutral,True,1.0,-3.98,0.9,IS
2023-03-01,2023-03-01 12:00:00,2023-03-01 14:30:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,40775.0,40926.0,41050.0,40490.0,-211.0,-6370.0,0,EARLY CUT,0.9667,30,75000,300.0,275.0,285.0,40580.0,40200.0,40490.0,290.0,full,,0,neutral,True,1.0,-0.61,0.9,IS
2023-03-06,2023-03-06 11:00:00,2023-03-08 09:30:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,41619.4,41497.24,42103.81,40490.0,62.16,1824.78,1,TRAIL STOP,1.0,30,75000,509.28,484.41,1129.4,40900.0,40120.0,40490.0,898.0,full,,1,neutral,True,0.5,3.19,0.45,IS
2023-03-09,2023-03-09 12:15:00,2023-03-10 09:15:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,41579.7,40900.9,42063.04,40490.0,618.8,18523.93,1,BREAKEVEN,0.6821,30,75000,505.81,483.34,1089.7,41420.0,40080.0,40490.0,345.0,full,,1,neutral,True,0.5,3.09,0.45,IS
2023-04-06,2023-04-06 11:30:00,2023-04-10 12:00:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,41309.4,41160.02,41605.0,40850.0,89.38,2641.4,1,BREAKEVEN,0.8893,30,75000,365.44,295.6,459.4,41100.0,40640.0,40850.0,325.0,full,,1,neutral,True,0.5,4.33,0.45,IS
2023-05-05,2023-05-05 12:15:00,2023-05-05 13:45:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,43210.0,42935.64,42736.46,43430.0,-334.36,-10070.72,0,TRAIL STOP,0.3688,30,75000,457.81,473.54,220.0,43480.0,43180.0,43430.0,168.85,full,,0,neutral,True,1.0,1.87,0.9,IS
2023-05-10,2023-05-10 10:15:00,2023-05-10 14:00:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,43023.9,43270.0,42558.32,43270.0,186.1,5543.0,1,TARGET HIT,0.4352,30,75000,484.62,465.58,246.1,43480.0,43060.0,43270.0,210.9,full,,0,neutral,True,1.0,-0.34,0.9,IS
2023-06-16,2023-06-16 10:15:00,2023-06-16 14:45:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,43845.0,44210.0,43542.63,44210.0,305.0,9110.0,1,TARGET HIT,0.9059,30,75000,330.28,302.37,365.0,44380.0,44040.0,44210.0,299.2,full,,0,neutral,True,0.5,-1.34,0.45,IS
2023-06-20,2023-06-20 13:00:00,2023-06-21 10:30:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,43666.75,43856.86,43302.39,44210.0,130.11,3863.27,1,BREAKEVEN,1.0,30,75000,339.68,364.36,543.25,44420.0,44040.0,44210.0,526.2,full,,1,neutral,True,0.5,-0.67,0.45,IS
2023-06-23,2023-06-23 12:30:00,2023-06-23 14:30:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,43820.0,43729.85,43480.8,44210.0,-150.15,-4544.5,0,EARLY CUT,0.3155,30,75000,348.66,339.2,390.0,44260.0,43800.0,44210.0,110.0,full,,0,neutral,True,1.0,0.47,0.9,IS
2023-06-28,2023-06-28 12:30:00,2023-06-28 12:45:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,44253.75,44253.75,44628.45,44210.0,-60.0,-1840.0,0,BREAKEVEN,0.3593,30,75000,384.09,374.7,43.75,44260.0,43760.0,44210.0,138.0,full,,0,neutral,True,0.5,0.57,0.45,IS
2023-06-28,2023-06-28 13:45:00,2023-06-28 14:15:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,44300.0,44300.0,44650.3,44210.0,-60.0,-1840.0,0,BREAKEVEN,0.4162,30,75000,384.09,350.3,90.0,44260.0,43760.0,44210.0,159.85,full,,0,neutral,True,0.5,0.57,0.45,IS
2023-08-04,2023-08-04 10:45:00,2023-08-04 13:30:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,44856.65,44835.08,44345.71,45730.0,-81.57,-2487.06,0,TRAIL STOP,0.8018,30,75000,523.82,510.94,873.35,45940.0,45080.0,45730.0,420.0,full,,0,neutral,True,0.5,-2.16,0.45,IS
2023-09-27,2023-09-27 10:45:00,2023-09-27 13:30:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,44321.75,44650.0,43867.17,44650.0,268.25,8007.5,1,TARGET HIT,0.7044,30,75000,469.81,454.58,328.25,45700.0,44480.0,44650.0,330.95,full,,0,neutral,True,0.5,-2.98,0.45,IS
2023-11-02,2023-11-02 10:45:00,2023-11-02 11:30:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,43270.8,43270.8,43743.25,42950.0,-60.0,-1840.0,0,BREAKEVEN,0.3379,30,75000,493.92,472.45,320.8,43280.0,42860.0,42950.0,166.9,full,,0,neutral,True,1.0,0.18,0.9,IS
2023-11-07,2023-11-07 11:45:00,2023-11-07 14:00:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,43576.05,43843.11,44011.94,42950.0,-327.06,-9851.78,0,TRAIL STOP,0.5662,30,75000,421.81,435.89,626.05,43520.0,42860.0,42950.0,238.85,full,,0,neutral,True,0.5,1.2,0.45,IS
2023-11-16,2023-11-16 12:00:00,2023-11-17 09:15:00,2023,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,44435.4,43850.0,44784.63,43850.0,525.4,15722.0,1,TARGET HIT,1.0,30,75000,389.46,349.23,585.4,44060.0,43000.0,43850.0,492.95,full,,1,neutral,True,0.5,1.08,0.45,IS
2024-01-03,2024-01-03 10:30:00,2024-01-03 12:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,47912.6,47861.85,47613.6,48590.0,-110.75,-3362.5,0,TRAIL STOP,1.0,30,75000,300.0,299.0,677.4,48880.0,48140.0,48590.0,346.4,full,,0,neutral,True,1.0,-0.01,0.9,IS
2024-01-03,2024-01-03 12:45:00,2024-01-05 09:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,47971.9,48590.0,47664.95,48590.0,558.1,16703.0,1,TARGET HIT,0.5027,30,75000,507.35,306.95,618.1,48880.0,48100.0,48590.0,255.05,full,,2,neutral,True,1.0,-0.01,0.9,IS
2024-01-10,2024-01-10 13:45:00,2024-01-11 14:00:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,47519.05,47536.65,46972.05,47990.0,-42.4,-1312.08,0,BREAKEVEN,0.9419,30,75000,572.0,547.0,470.95,48640.0,47860.0,47990.0,538.75,full,,1,neutral,True,0.5,-0.99,0.45,IS
2024-02-01,2024-02-01 11:15:00,2024-02-01 12:00:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,46211.25,46107.25,46571.95,45750.0,44.0,1280.0,1,BREAKEVEN,0.7732,30,75000,300.0,360.7,461.25,46160.0,45460.0,45750.0,231.95,full,,0,neutral,True,0.5,3.1,0.45,IS
2024-02-01,2024-02-01 12:15:00,2024-02-01 12:45:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,46251.3,46445.0,46617.25,45750.0,-253.7,-7651.0,0,TRAIL STOP,0.9242,30,75000,300.0,365.95,501.3,46160.0,45460.0,45750.0,277.25,full,,0,neutral,True,0.5,3.1,0.45,IS
2024-02-02,2024-02-02 12:15:00,2024-02-05 09:45:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,46837.9,46225.2,47603.41,45750.0,552.7,16541.0,1,BREAKEVEN,1.0,30,75000,716.3,765.51,1087.9,46320.0,45460.0,45750.0,825.5,full,,1,neutral,True,0.5,2.96,0.45,IS
2024-03-14,2024-03-14 10:30:00,2024-03-14 12:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,47236.35,47236.35,46555.89,47570.0,-60.0,-1840.0,0,BREAKEVEN,0.7906,30,75000,607.01,680.46,333.65,48220.0,47400.0,47570.0,479.9,full,,0,neutral,True,0.5,-1.85,0.45,IS
2024-03-18,2024-03-18 11:30:00,2024-03-19 09:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,46455.95,46603.07,45844.65,47570.0,87.12,2573.69,1,TRAIL STOP,1.0,30,75000,593.85,611.3,1114.05,48020.0,46840.0,47570.0,630.0,full,,1,neutral,True,0.5,-2.55,0.45,IS
2024-03-20,2024-03-20 10:45:00,2024-03-21 10:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,46267.2,46855.85,45637.39,47570.0,528.65,15819.5,1,BREAKEVEN,0.8352,30,75000,572.3,629.81,1302.8,47780.0,46480.0,47570.0,478.0,full,,1,neutral,True,0.5,-2.3,0.45,IS
2024-04-04,2024-04-04 13:45:00,2024-04-04 14:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,48100.25,48235.0,48514.7,47890.0,-194.75,-5882.5,0,EARLY CUT,0.7093,30,75000,377.83,414.45,210.25,48020.0,47600.0,47890.0,268.0,full,,0,neutral,True,0.5,2.57,0.45,IS
2024-04-08,2024-04-08 13:15:00,2024-04-08 14:45:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,48643.1,48724.95,49093.86,47890.0,-141.85,-4295.5,0,EARLY CUT,1.0,30,75000,411.44,450.76,753.1,48260.0,47600.0,47890.0,587.0,full,,0,neutral,True,0.5,2.29,0.45,IS
2024-04-18,2024-04-18 13:45:00,2024-04-18 14:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,47451.65,47167.07,46926.9,47890.0,-344.58,-10377.25,0,TRAIL STOP,0.4207,30,75000,463.5,524.75,438.35,48460.0,47400.0,47890.0,195.0,full,,0,neutral,True,0.5,-1.99,0.45,IS
2024-04-19,2024-04-19 11:30:00,2024-04-22 09:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,47069.5,47890.0,46564.96,47890.0,760.5,22775.0,1,TARGET HIT,0.4194,30,75000,502.85,504.54,820.5,48500.0,47080.0,47890.0,210.9,full,,1,neutral,True,0.5,-3.34,0.45,IS
2024-05-09,2024-05-09 11:45:00,2024-05-09 14:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,47989.0,47671.1,47395.93,49430.0,-377.9,-11377.0,0,EARLY CUT,1.0,30,75000,651.78,593.07,1441.0,49680.0,48460.0,49430.0,673.0,full,,0,neutral,True,0.5,-2.37,0.45,IS
2024-05-16,2024-05-16 11:15:00,2024-05-16 12:00:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,47645.0,47890.0,46669.55,47890.0,185.0,5510.0,1,TARGET HIT,0.2685,30,75000,656.84,975.45,245.0,49100.0,47240.0,47890.0,176.35,full,,0,neutral,True,0.5,-0.64,0.45,IS
2024-07-02,2024-07-02 10:45:00,2024-07-02 11:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,52532.8,52532.8,52246.0,52710.0,-60.0,-1840.0,0,BREAKEVEN,0.5133,30,75000,300.0,286.8,177.2,53040.0,52580.0,52710.0,154.0,full,,0,neutral,True,1.0,1.75,0.9,IS
2024-07-02,2024-07-02 11:45:00,2024-07-02 12:45:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,52375.85,52214.25,52104.3,52710.0,-221.6,-6688.0,0,TRAIL STOP,0.5857,30,75000,300.0,271.55,334.15,52960.0,52460.0,52710.0,175.7,full,,0,neutral,True,1.0,1.75,0.9,IS
2024-07-05,2024-07-05 10:30:00,2024-07-08 09:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,52579.8,52579.8,52021.95,53110.0,-60.0,-1840.0,0,TRAIL STOP,0.3319,30,75000,586.55,557.85,530.2,53200.0,52580.0,53110.0,194.65,full,,1,neutral,True,1.0,0.59,0.9,IS
2024-07-11,2024-07-11 11:30:00,2024-07-12 09:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,52025.15,52292.59,51534.21,52650.0,207.44,6183.12,1,BREAKEVEN,0.6962,30,75000,545.83,490.94,624.85,52980.0,52240.0,52650.0,380.0,full,,1,neutral,True,0.5,-1.45,0.45,IS
2024-07-23,2024-07-23 12:00:00,2024-07-23 12:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,52200.15,51820.04,51578.39,52650.0,-440.11,-13243.4,0,TRAIL STOP,0.5597,30,75000,536.02,621.76,449.85,52780.0,52200.0,52650.0,300.0,full,,0,neutral,True,1.0,-0.12,0.9,IS
2024-07-23,2024-07-23 13:15:00,2024-07-24 09:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51663.45,51832.54,51089.39,52650.0,109.09,3232.68,1,TRAIL STOP,1.0,30,75000,564.52,574.06,986.55,52820.0,52200.0,52650.0,789.0,full,,1,neutral,True,1.0,-0.12,0.9,IS
2024-07-24,2024-07-24 13:00:00,2024-07-24 14:00:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51205.0,51126.76,50582.29,52650.0,-138.24,-4187.23,0,TRAIL STOP,1.0,30,75000,564.52,622.71,1445.0,52780.0,52240.0,52650.0,1319.0,full,,0,neutral,True,0.5,-1.68,0.45,IS
2024-08-13,2024-08-13 10:00:00,2024-08-13 12:45:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,50572.5,50230.0,51386.72,50230.0,282.5,8435.0,1,TARGET HIT,0.3674,30,75000,647.87,814.22,342.5,50760.0,49900.0,50230.0,238.0,full,,0,neutral,True,0.5,1.16,0.45,IS
2024-08-27,2024-08-27 10:15:00,2024-08-27 13:45:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,51062.2,51376.13,51560.56,50650.0,-373.93,-11257.96,0,TRAIL STOP,0.3307,30,75000,494.84,498.36,412.2,51100.0,50120.0,50650.0,163.65,full,,0,neutral,True,0.5,1.42,0.45,IS
2024-08-28,2024-08-28 10:00:00,2024-08-28 15:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,51104.15,51143.7,51681.43,50650.0,-99.55,-3026.5,0,SQUARE OFF,0.5911,30,75000,488.13,577.28,454.15,51100.0,50080.0,50650.0,288.55,full,,0,neutral,True,0.5,0.68,0.45,IS
2024-09-09,2024-09-09 10:30:00,2024-09-10 09:45:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,50960.0,51202.65,50448.66,51650.0,182.65,5439.5,1,BREAKEVEN,1.0,30,75000,449.5,511.34,690.0,51780.0,51360.0,51650.0,635.0,full,,1,neutral,True,0.5,-1.71,0.45,IS
2024-10-07,2024-10-07 11:15:00,2024-10-07 13:00:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51778.0,51262.25,51090.88,53430.0,-575.75,-17312.61,0,TRAIL STOP,0.5237,30,75000,737.87,687.12,1652.0,54040.0,51920.0,53430.0,386.4,full,,0,neutral,True,0.5,-4.73,0.45,IS
2024-10-07,2024-10-07 13:45:00,2024-10-07 14:45:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51111.95,51224.85,50253.48,53430.0,52.9,1546.89,1,TRAIL STOP,1.0,30,75000,737.87,858.47,2318.05,54040.0,51760.0,53430.0,1063.8,full,,0,neutral,True,0.5,-4.73,0.45,IS
2024-12-03,2024-12-03 11:45:00,2024-12-03 14:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,52860.0,52945.05,53139.75,52350.0,-145.05,-4391.5,0,EARLY CUT,1.0,30,75000,300.0,279.75,510.0,52640.0,52060.0,52350.0,319.75,full,,0,neutral,True,1.0,0.37,0.9,IS
2024-12-04,2024-12-04 11:45:00,2024-12-04 14:00:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,53087.0,53482.52,53707.5,52350.0,-455.52,-13705.6,0,TRAIL STOP,0.8148,30,75000,613.16,620.5,737.0,52840.0,52060.0,52350.0,499.6,full,,0,neutral,True,0.5,1.35,0.45,IS
2024-12-13,2024-12-13 11:00:00,2024-12-16 09:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,52570.0,53690.0,52005.15,53690.0,1060.0,31760.0,1,TARGET HIT,0.8926,30,75000,604.89,564.85,1120.0,53900.0,52920.0,53690.0,539.9,full,,1,neutral,True,0.5,-0.5,0.45,IS
2024-12-19,2024-12-19 11:15:00,2024-12-20 09:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51701.9,51701.9,51110.67,53670.0,-60.0,-1840.0,0,TRAIL STOP,1.0,30,75000,665.9,591.23,1968.1,53840.0,52620.0,53670.0,1135.5,full,,1,neutral,True,0.5,-2.31,0.45,IS
2024-12-20,2024-12-20 10:30:00,2024-12-20 13:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51422.9,51067.42,50800.46,53670.0,-415.48,-12504.25,0,TRAIL STOP,1.0,30,75000,665.9,622.44,2247.1,53840.0,52500.0,53670.0,1300.0,full,,0,neutral,True,0.5,-3.12,0.45,IS
2024-12-23,2024-12-23 10:15:00,2024-12-23 14:30:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51420.0,51284.05,50798.86,53670.0,-195.95,-5918.5,0,EARLY CUT,1.0,30,75000,661.89,621.14,2250.0,53840.0,52380.0,53670.0,1184.0,full,,0,neutral,True,0.5,-5.27,0.45,IS
2024-12-31,2024-12-31 10:15:00,2024-12-31 12:00:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51193.85,51125.0,50835.05,51710.0,-128.85,-3905.5,0,TRAIL STOP,1.0,30,75000,300.0,358.8,516.15,52040.0,51380.0,51710.0,364.95,full,,0,neutral,True,1.0,1.14,0.9,IS
2024-12-31,2024-12-31 12:15:00,2025-01-02 13:15:00,2024,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,51223.55,51710.0,50942.5,51710.0,426.45,12753.5,1,TARGET HIT,0.3075,30,75000,707.29,281.05,486.45,52040.0,51340.0,51710.0,217.5,full,,1,neutral,True,1.0,1.14,0.9,IS
2025-02-04,2025-02-04 10:15:00,2025-02-04 10:30:00,2025,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,50055.0,50064.25,50346.9,49490.0,-69.25,-2117.5,0,TRAIL STOP,0.7563,30,75000,300.0,291.9,565.0,49940.0,49400.0,49490.0,226.9,full,,0,neutral,True,0.5,1.33,0.45,IS
2025-02-04,2025-02-04 10:45:00,2025-02-04 12:15:00,2025,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,49902.0,50100.3,50249.5,49490.0,-258.3,-7789.0,0,TRAIL STOP,0.4317,30,75000,300.0,347.5,412.0,49940.0,49400.0,49490.0,129.5,full,,0,neutral,True,0.5,1.33,0.45,IS
2025-02-12,2025-02-12 10:30:00,2025-02-12 12:45:00,2025,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,49220.0,49830.0,48588.06,49830.0,550.0,16460.0,1,TARGET HIT,0.7208,30,75000,629.89,631.94,610.0,50400.0,49420.0,49830.0,454.0,full,,0,neutral,True,0.5,-1.47,0.45,IS
